K,Delta,separation,m1,m2,m3,m2_m1,m3_m2,R_std,grad_mag
0.1,1,10,0.0193069,0.0571289,0.0780501,2.959,1.36621,2.2184e-05,0
0.5,1,10,0.0193854,0.0572365,0.0781017,2.95256,1.36454,2.23306e-05,0
1,1,10,0.0194572,0.0576168,0.0781189,2.9612,1.35584,5.70513e-06,0
2,1,10,0.0195298,0.0591866,0.0781264,3.03058,1.32,1.16467e-05,0
5,1,10,0.0195556,0.0626159,0.0784404,3.20195,1.25272,3.50216e-05,0
10,1,10,0.0196786,0.0655224,0.0791966,3.32962,1.20869,2.01004e-05,0
10,0.1,10,0.00196786,0.00655224,0.00791966,3.32962,1.20869,2.01004e-05,0
10,0.5,10,0.00983932,0.0327612,0.0395983,3.32962,1.20869,2.01004e-05,0
10,1,10,0.0196786,0.0655224,0.0791966,3.32962,1.20869,2.01004e-05,0
10,2,10,0.0393573,0.131045,0.158393,3.32962,1.20869,2.01004e-05,0
10,5,10,0.0983932,0.327612,0.395983,3.32962,1.20869,2.01004e-05,0
10,10,10,0.196786,0.655224,0.791966,3.32962,1.20869,2.01004e-05,0
10,0.5,2,0.00983932,0.00478437,0.00604341,0.48625,1.26316,2.01004e-05,0
10,0.5,5,0.00983932,0.0128458,0.0133055,1.30555,1.03579,2.01004e-05,0
10,0.5,10,0.00983932,0.0327612,0.0395983,3.32962,1.20869,2.01004e-05,0
10,0.5,20,0.00983932,0.0909002,0.13582,9.23846,1.49417,2.01004e-05,0
10,0.5,30,0.00983932,0.165424,0.262074,16.8125,1.58426,2.01004e-05,0
1,0.5,5,0.00972862,0.00889839,0.0116049,0.914661,1.30416,5.70513e-06,0
1,0.5,10,0.00972862,0.0288084,0.0390595,2.9612,1.35584,5.70513e-06,0
1,0.5,20,0.00972862,0.0885232,0.133541,9.09926,1.50854,5.70513e-06,0
2,0.5,5,0.0097649,0.00922882,0.0117265,0.945101,1.27064,1.16467e-05,0
2,0.5,10,0.0097649,0.0295933,0.0390632,3.03058,1.32,1.16467e-05,0
2,0.5,20,0.0097649,0.0895033,0.133682,9.16582,1.4936,1.16467e-05,0
5,0.5,5,0.00977778,0.0111058,0.0122149,1.13582,1.09987,3.50216e-05,0
5,0.5,10,0.00977778,0.031308,0.0392202,3.20195,1.25272,3.50216e-05,0
5,0.5,20,0.00977778,0.0904865,0.134594,9.2543,1.48745,3.50216e-05,0
